Container base image tests:
OK: podman - registry.opensuse.org/opensuse/leap:latest
OK: podman - registry.opensuse.org/opensuse/tumbleweed:latest
OK: podman - 3.126.238.126:5000/library/alpine:latest
OK: podman - 3.126.238.126:5000/library/debian:latest
OK: podman - 3.126.238.126:5000/library/fedora:latest
OK: podman - registry.access.redhat.com/ubi8/ubi:latest
OK: podman - registry.access.redhat.com/ubi8/ubi-minimal:latest
OK: podman - registry.access.redhat.com/ubi8/ubi-micro:latest
OK: podman - registry.access.redhat.com/ubi8/ubi-init:latest
OK: podman - registry.access.redhat.com/ubi9/ubi:latest
OK: podman - registry.access.redhat.com/ubi9/ubi-minimal:latest
OK: podman - registry.access.redhat.com/ubi9/ubi-micro:latest
OK: podman - registry.access.redhat.com/ubi9/ubi-init:latest
OK: podman - 3.126.238.126:5000/library/ubuntu:latest
OK: podman - 3.126.238.126:5000/library/centos:latest
OK: podman - registry.access.redhat.com/ubi7/ubi:latest
OK: podman - registry.access.redhat.com/ubi7/ubi-minimal:latest
OK: podman - registry.access.redhat.com/ubi7/ubi-init:latest
