UNIT FILE                                                                            STATE           PRESET
proc-sys-fs-binfmt_misc.automount                                                    static          -
-.mount                                                                              generated       -
\x2esnapshots.mount                                                                  generated       -
boot-grub2-i386\x2dpc.mount                                                          generated       -
boot-grub2-x86_64\x2defi.mount                                                       generated       -
dev-hugepages.mount                                                                  static          -
dev-mqueue.mount                                                                     static          -
home.mount                                                                           generated       -
opt.mount                                                                            generated       -
proc-sys-fs-binfmt_misc.mount                                                        disabled        disabled
root.mount                                                                           generated       -
srv.mount                                                                            generated       -
sys-fs-fuse-connections.mount                                                        static          -
sys-kernel-config.mount                                                              static          -
sys-kernel-debug.mount                                                               static          -
sys-kernel-tracing.mount                                                             static          -
tmp.mount                                                                            static          -
usr-local.mount                                                                      generated       -
var-lib-nfs-rpc_pipefs.mount                                                         static          -
var.mount                                                                            generated       -
btrfsmaintenance-refresh.path                                                        enabled         enabled
ca-certificates.path                                                                 enabled         enabled
issue-generator.path                                                                 enabled         enabled
smartd_generate_opts.path                                                            enabled         enabled
systemd-ask-password-console.path                                                    static          -
systemd-ask-password-plymouth.path                                                   static          -
systemd-ask-password-wall.path                                                       static          -
libpod-472dd6affd3179035967b17416c2e50ca460161de07588d849b049f9fc7be3bd.scope        transient       -
libpod-728abf3da0f885830d90cc71b15a4b9afb72cc6bac471b4cb0bba6d5bd292385.scope        transient       -
libpod-conmon-472dd6affd3179035967b17416c2e50ca460161de07588d849b049f9fc7be3bd.scope transient       -
libpod-conmon-728abf3da0f885830d90cc71b15a4b9afb72cc6bac471b4cb0bba6d5bd292385.scope transient       -
run-r2075b3135b3a4a44a97b15e68423368d.scope                                          transient       -
session-1.scope                                                                      transient       -
session-3.scope                                                                      transient       -
apparmor.service                                                                     enabled         enabled
auditd.service                                                                       enabled         enabled
augenrules.service                                                                   static          -
auth-rpcgss-module.service                                                           static          -
autofs.service                                                                       disabled        disabled
autovt@.service                                                                      alias           -
autoyast-initscripts.service                                                         disabled        disabled
backup-rpmdb.service                                                                 static          -
backup-sysconfig.service                                                             static          -
blk-availability.service                                                             disabled        disabled
boot-sysctl.service                                                                  disabled        disabled
btrfs-balance.service                                                                static          -
btrfs-defrag.service                                                                 static          -
btrfs-scrub.service                                                                  static          -
btrfs-trim.service                                                                   static          -
btrfsmaintenance-refresh.service                                                     static          -
ca-certificates-setup.service                                                        disabled        disabled
ca-certificates.service                                                              disabled        disabled
check-battery.service                                                                static          -
chrony-dnssrv@.service                                                               static          -
chrony-wait.service                                                                  disabled        disabled
chronyd.service                                                                      enabled         disabled
console-getty.service                                                                disabled        disabled
container-getty@.service                                                             static          -
containerd.service                                                                   disabled        disabled
cron.service                                                                         enabled         enabled
dbus-fi.epitest.hostap.WPASupplicant.service                                         alias           -
dbus-fi.w1.wpa_supplicant1.service                                                   alias           -
dbus-org.fedoraproject.FirewallD1.service                                            alias           -
dbus-org.freedesktop.hostname1.service                                               alias           -
dbus-org.freedesktop.locale1.service                                                 alias           -
dbus-org.freedesktop.login1.service                                                  alias           -
dbus-org.freedesktop.nm-dispatcher.service                                           alias           -
dbus-org.freedesktop.timedate1.service                                               alias           -
dbus.service                                                                         static          -
debug-shell.service                                                                  disabled        disabled
dm-event.service                                                                     static          -
dmraid-activation.service                                                            disabled        disabled
dnsmasq.service                                                                      disabled        disabled
docker.service                                                                       disabled        disabled
dracut-cmdline.service                                                               static          -
dracut-initqueue.service                                                             static          -
dracut-mount.service                                                                 static          -
dracut-pre-mount.service                                                             static          -
dracut-pre-pivot.service                                                             static          -
dracut-pre-trigger.service                                                           static          -
dracut-pre-udev.service                                                              static          -
dracut-shutdown-onfailure.service                                                    static          -
dracut-shutdown.service                                                              static          -
emergency.service                                                                    static          -
firewalld.service                                                                    enabled         disabled
fsidd.service                                                                        disabled        disabled
fstrim.service                                                                       static          -
getty@.service                                                                       enabled         enabled
gpm.service                                                                          disabled        disabled
grub2-once.service                                                                   disabled        disabled
gv-user-network@.service                                                             disabled        disabled
initrd-cleanup.service                                                               static          -
initrd-parse-etc.service                                                             static          -
initrd-switch-root.service                                                           static          -
initrd-udevadm-cleanup-db.service                                                    static          -
irqbalance.service                                                                   enabled         enabled
issue-add-ssh-keys.service                                                           disabled        disabled
issue-generator.service                                                              enabled         enabled
kbdsettings.service                                                                  enabled         enabled
kernel-sysctl.service                                                                disabled        disabled
kexec-load.service                                                                   disabled        disabled
klogd.service                                                                        disabled        disabled
kmod-static-nodes.service                                                            static          -
lastlog2-import.service                                                              disabled        disabled
logrotate.service                                                                    static          -
lunmask.service                                                                      disabled        disabled
lvm2-lvmpolld.service                                                                static          -
lvm2-monitor.service                                                                 enabled         enabled
man-db-create.service                                                                disabled        disabled
man-db.service                                                                       static          -
mcelog.service                                                                       enabled         enabled
mdadm-grow-continue@.service                                                         static          -
mdadm-last-resort@.service                                                           static          -
mdcheck_continue.service                                                             static          -
mdcheck_start.service                                                                static          -
mdmon@.service                                                                       static          -
mdmonitor-oneshot.service                                                            static          -
mdmonitor.service                                                                    static          -
modprobe@.service                                                                    static          -
multipathd.service                                                                   disabled        disabled
netavark-dhcp-proxy.service                                                          disabled        disabled
netavark-firewalld-reload.service                                                    disabled        disabled
network.service                                                                      alias           -
NetworkManager-dispatcher.service                                                    enabled         disabled
NetworkManager-wait-online.service                                                   enabled         disabled
NetworkManager.service                                                               enabled         disabled
nfs-blkmap.service                                                                   disabled        disabled
nfs-idmapd.service                                                                   static          -
nfs-utils.service                                                                    static          -
nfsdcld.service                                                                      static          -
nis-domainname.service                                                               disabled        disabled
nm-priv-helper.service                                                               static          -
nmb.service                                                                          disabled        disabled
openSUSE-build-key-import.service                                                    disabled        disabled
packagekit.service                                                                   masked          disabled
pam_namespace.service                                                                static          -
pcscd.service                                                                        indirect        disabled
plymouth-halt.service                                                                static          -
plymouth-kexec.service                                                               static          -
plymouth-poweroff.service                                                            static          -
plymouth-quit-wait.service                                                           static          -
plymouth-quit.service                                                                static          -
plymouth-read-write.service                                                          static          -
plymouth-reboot.service                                                              static          -
plymouth-start.service                                                               static          -
plymouth-switch-root-initramfs.service                                               static          -
plymouth-switch-root.service                                                         static          -
podman-auto-update.service                                                           disabled        disabled
podman-clean-transient.service                                                       disabled        disabled
podman-kube@.service                                                                 disabled        disabled
podman-restart.service                                                               disabled        disabled
podman.service                                                                       disabled        disabled
polkit.service                                                                       static          -
postfix.service                                                                      enabled         enabled
purge-kernels.service                                                                enabled         enabled
qemu-guest-agent.service                                                             disabled        disabled
quotaon.service                                                                      static          -
rescue.service                                                                       static          -
rng-tools.service                                                                    disabled        disabled
rpc-gssd.service                                                                     static          -
rpc-statd-notify.service                                                             static          -
rpc-statd.service                                                                    static          -
rpc-svcgssd.service                                                                  static          -
rpcbind.service                                                                      disabled        disabled
rpmconfigcheck.service                                                               disabled        disabled
rsyncd.service                                                                       disabled        disabled
rsyncd@.service                                                                      static          -
serial-getty@.service                                                                indirect        disabled
shadow.service                                                                       static          -
smartd.service                                                                       enabled         enabled
smartd_generate_opts.service                                                         disabled        disabled
smb.service                                                                          disabled        disabled
snapper-boot.service                                                                 static          -
snapper-cleanup.service                                                              static          -
snapper-timeline.service                                                             static          -
snapperd.service                                                                     static          -
snmpd.service                                                                        disabled        disabled
snmptrapd.service                                                                    disabled        disabled
sshd.service                                                                         enabled         disabled
system-update-cleanup.service                                                        static          -
systemd-ask-password-console.service                                                 static          -
systemd-ask-password-plymouth.service                                                static          -
systemd-ask-password-wall.service                                                    static          -
systemd-backlight@.service                                                           static          -
systemd-battery-check.service                                                        static          -
systemd-binfmt.service                                                               static          -
systemd-boot-check-no-failures.service                                               disabled        disabled
systemd-confext.service                                                              disabled        disabled
systemd-coredump@.service                                                            static          -
systemd-exit.service                                                                 static          -
systemd-firstboot.service                                                            static          -
systemd-fsck-root.service                                                            static          -
systemd-fsck@.service                                                                static          -
systemd-growfs-root.service                                                          static          -
systemd-growfs@.service                                                              static          -
systemd-halt.service                                                                 static          -
systemd-hibernate-resume.service                                                     static          -
systemd-hibernate.service                                                            static          -
systemd-hostnamed.service                                                            static          -
systemd-hwdb-update.service                                                          static          -
systemd-hybrid-sleep.service                                                         static          -
systemd-journal-catalog-update.service                                               static          -
systemd-journal-flush.service                                                        static          -
systemd-journald.service                                                             static          -
systemd-journald@.service                                                            static          -
systemd-kexec.service                                                                static          -
systemd-localed.service                                                              static          -
systemd-logind.service                                                               static          -
systemd-machine-id-commit.service                                                    static          -
systemd-modules-load.service                                                         static          -
systemd-network-generator.service                                                    disabled        disabled
systemd-poweroff.service                                                             static          -
systemd-pstore.service                                                               enabled         enabled
systemd-quotacheck.service                                                           static          -
systemd-random-seed.service                                                          static          -
systemd-reboot.service                                                               static          -
systemd-remount-fs.service                                                           enabled-runtime disabled
systemd-repart.service                                                               static          -
systemd-rfkill.service                                                               static          -
systemd-soft-reboot.service                                                          static          -
systemd-suspend-then-hibernate.service                                               static          -
systemd-suspend.service                                                              static          -
systemd-sysctl.service                                                               static          -
systemd-sysext.service                                                               disabled        disabled
systemd-sysext@.service                                                              static          -
systemd-sysusers.service                                                             static          -
systemd-time-wait-sync.service                                                       disabled        disabled
systemd-timedated.service                                                            static          -
systemd-timesyncd.service                                                            disabled        disabled
systemd-tmpfiles-clean.service                                                       static          -
systemd-tmpfiles-setup-dev-early.service                                             static          -
systemd-tmpfiles-setup-dev.service                                                   static          -
systemd-tmpfiles-setup.service                                                       static          -
systemd-udev-settle.service                                                          static          -
systemd-udev-trigger.service                                                         static          -
systemd-udevd.service                                                                static          -
systemd-update-done.service                                                          static          -
systemd-user-sessions.service                                                        static          -
systemd-userdbd.service                                                              indirect        disabled
systemd-vconsole-setup.service                                                       static          -
systemd-volatile-root.service                                                        static          -
tuned.service                                                                        disabled        disabled
user-runtime-dir@.service                                                            static          -
user@.service                                                                        static          -
wpa_supplicant.service                                                               disabled        disabled
wpa_supplicant@.service                                                              disabled        disabled
wsdd.service                                                                         disabled        disabled
wtmpdb-rotate.service                                                                static          -
wtmpdb-update-boot.service                                                           enabled         enabled
yast-timesync.service                                                                static          -
YaST2-Firstboot.service                                                              enabled         enabled
YaST2-Second-Stage.service                                                           enabled         enabled
system-systemd\x2dcryptsetup.slice                                                   static          -
system-systemd\x2dveritysetup.slice                                                  static          -
user.slice                                                                           static          -
dbus.socket                                                                          static          -
dm-event.socket                                                                      enabled         enabled
docker.socket                                                                        disabled        disabled
lvm2-lvmpolld.socket                                                                 enabled         enabled
multipathd.socket                                                                    static          -
netavark-dhcp-proxy.socket                                                           disabled        disabled
pcscd.socket                                                                         enabled         enabled
podman.socket                                                                        disabled        disabled
rpcbind.socket                                                                       disabled        disabled
rsyncd.socket                                                                        disabled        disabled
syslog.socket                                                                        static          -
systemd-coredump.socket                                                              static          -
systemd-journald-audit.socket                                                        disabled        disabled
systemd-journald-dev-log.socket                                                      static          -
systemd-journald-varlink@.socket                                                     static          -
systemd-journald.socket                                                              static          -
systemd-journald@.socket                                                             static          -
systemd-rfkill.socket                                                                static          -
systemd-sysext.socket                                                                disabled        disabled
systemd-udevd-control.socket                                                         static          -
systemd-udevd-kernel.socket                                                          static          -
systemd-userdbd.socket                                                               disabled        disabled
dev-disk-by\x2duuid-350ef8df\x2d2937\x2d4484\x2d9b74\x2dcdf0b1f4c465.swap            generated       -
basic.target                                                                         static          -
blockdev@.target                                                                     static          -
bluetooth.target                                                                     static          -
boot-complete.target                                                                 static          -
cryptsetup-pre.target                                                                static          -
cryptsetup.target                                                                    static          -
ctrl-alt-del.target                                                                  alias           -
default.target                                                                       alias           -
emergency.target                                                                     static          -
exit.target                                                                          disabled        disabled
factory-reset.target                                                                 static          -
final.target                                                                         static          -
first-boot-complete.target                                                           static          -
getty-pre.target                                                                     static          -
getty.target                                                                         static          -
graphical.target                                                                     static          -
halt.target                                                                          disabled        disabled
hibernate.target                                                                     static          -
hybrid-sleep.target                                                                  static          -
initrd-fs.target                                                                     static          -
initrd-root-device.target                                                            static          -
initrd-root-fs.target                                                                static          -
initrd-switch-root.target                                                            static          -
initrd-usr-fs.target                                                                 static          -
initrd.target                                                                        static          -
integritysetup-pre.target                                                            static          -
integritysetup.target                                                                static          -
kexec.target                                                                         disabled        disabled
local-fs-pre.target                                                                  static          -
local-fs.target                                                                      static          -
multi-user.target                                                                    indirect        disabled
network-online.target                                                                static          -
network-pre.target                                                                   static          -
network.target                                                                       static          -
nfs-client.target                                                                    disabled        disabled
nss-lookup.target                                                                    static          -
nss-user-lookup.target                                                               static          -
paths.target                                                                         static          -
poweroff.target                                                                      disabled        disabled
printer.target                                                                       static          -
reboot.target                                                                        disabled        disabled
remote-cryptsetup.target                                                             disabled        disabled
remote-fs-pre.target                                                                 static          -
remote-fs.target                                                                     enabled         enabled
remote-veritysetup.target                                                            disabled        disabled
rescue.target                                                                        static          -
rpc_pipefs.target                                                                    static          -
rpcbind.target                                                                       static          -
shutdown.target                                                                      static          -
sigpwr.target                                                                        static          -
sleep.target                                                                         static          -
slices.target                                                                        static          -
smartcard.target                                                                     static          -
sockets.target                                                                       static          -
soft-reboot.target                                                                   static          -
sound.target                                                                         static          -
suspend-then-hibernate.target                                                        static          -
suspend.target                                                                       static          -
swap.target                                                                          static          -
sysinit.target                                                                       static          -
system-update-pre.target                                                             static          -
system-update.target                                                                 static          -
time-set.target                                                                      static          -
time-sync.target                                                                     static          -
timers.target                                                                        static          -
umount.target                                                                        static          -
usb-gadget.target                                                                    static          -
veritysetup-pre.target                                                               static          -
veritysetup.target                                                                   static          -
backup-rpmdb.timer                                                                   masked          enabled
backup-sysconfig.timer                                                               masked          enabled
btrfs-balance.timer                                                                  masked          enabled
btrfs-defrag.timer                                                                   masked          enabled
btrfs-scrub.timer                                                                    masked          enabled
btrfs-trim.timer                                                                     masked          enabled
check-battery.timer                                                                  masked          enabled
chrony-dnssrv@.timer                                                                 disabled        disabled
fstrim.timer                                                                         masked          enabled
logrotate.timer                                                                      masked          enabled
man-db.timer                                                                         masked          enabled
mdadm-last-resort@.timer                                                             static          -
mdcheck_continue.timer                                                               enabled         disabled
mdcheck_start.timer                                                                  enabled         enabled
mdmonitor-oneshot.timer                                                              enabled         enabled
openSUSE-build-key-import.timer                                                      disabled        disabled
podman-auto-update.timer                                                             disabled        disabled
shadow.timer                                                                         static          -
snapper-boot.timer                                                                   disabled        disabled
snapper-cleanup.timer                                                                masked          enabled
snapper-timeline.timer                                                               masked          enabled
systemd-tmpfiles-clean.timer                                                         masked          disabled
wtmpdb-rotate.timer                                                                  masked          enabled

370 unit files listed.
