UNIT FILE                                    STATE           PRESET
proc-sys-fs-binfmt_misc.automount            static          -
-.mount                                      generated       -
\x2esnapshots.mount                          generated       -
boot-efi.mount                               generated       -
dev-hugepages.mount                          static          -
dev-mqueue.mount                             static          -
etc.mount                                    generated       -
home.mount                                   generated       -
opt.mount                                    generated       -
proc-sys-fs-binfmt_misc.mount                disabled        disabled
root.mount                                   generated       -
srv.mount                                    generated       -
sys-fs-fuse-connections.mount                static          -
sys-kernel-config.mount                      static          -
sys-kernel-debug.mount                       static          -
sys-kernel-tracing.mount                     static          -
tmp.mount                                    static          -
usr-local.mount                              generated       -
var.mount                                    generated       -
btrfsmaintenance-refresh.path                enabled         enabled
ca-certificates.path                         enabled         enabled
issue-generator.path                         enabled         enabled
setup-systemd-proxy-env.path                 disabled        disabled
systemd-ask-password-console.path            static          -
systemd-ask-password-wall.path               static          -
session-1.scope                              transient       -
session-3.scope                              transient       -
auditd.service                               enabled         enabled
augenrules.service                           static          -
autovt@.service                              alias           -
blk-availability.service                     disabled        disabled
boot-sysctl.service                          disabled        disabled
btrfs-balance.service                        static          -
btrfs-defrag.service                         static          -
btrfs-scrub.service                          static          -
btrfs-trim.service                           static          -
btrfsmaintenance-refresh.service             static          -
ca-certificates-setup.service                disabled        disabled
ca-certificates.service                      disabled        disabled
chrony-dnssrv@.service                       static          -
chrony-wait.service                          disabled        disabled
chronyd.service                              enabled         disabled
console-getty.service                        disabled        disabled
container-getty@.service                     static          -
create-dirs-from-rpmdb.service               enabled         enabled
dbus-fi.epitest.hostap.WPASupplicant.service alias           -
dbus-fi.w1.wpa_supplicant1.service           alias           -
dbus-org.freedesktop.hostname1.service       alias           -
dbus-org.freedesktop.locale1.service         alias           -
dbus-org.freedesktop.login1.service          alias           -
dbus-org.freedesktop.ModemManager1.service   alias           -
dbus-org.freedesktop.nm-dispatcher.service   alias           -
dbus-org.freedesktop.timedate1.service       alias           -
dbus.service                                 static          -
debug-shell.service                          disabled        disabled
dm-event.service                             static          -
dracut-cmdline.service                       static          -
dracut-initqueue.service                     static          -
dracut-mount.service                         static          -
dracut-pre-mount.service                     static          -
dracut-pre-pivot.service                     static          -
dracut-pre-trigger.service                   static          -
dracut-pre-udev.service                      static          -
dracut-shutdown-onfailure.service            static          -
dracut-shutdown.service                      static          -
emergency.service                            static          -
fstrim.service                               static          -
getty@.service                               enabled         enabled
initrd-cleanup.service                       static          -
initrd-parse-etc.service                     static          -
initrd-switch-root.service                   static          -
initrd-udevadm-cleanup-db.service            static          -
issue-add-ssh-keys.service                   enabled         enabled
issue-generator.service                      enabled         enabled
jeos-firstboot-snapshot.service              disabled        disabled
jeos-firstboot.service                       enabled         disabled
kbdsettings.service                          enabled         enabled
kdump-early.service                          disabled        disabled
kdump-notify.service                         disabled        disabled
kdump.service                                disabled        disabled
kernel-sysctl.service                        disabled        disabled
kexec-load.service                           disabled        disabled
kmod-static-nodes.service                    static          -
langset.service                              disabled        disabled
lastlog2-import.service                      enabled         enabled
logrotate.service                            static          -
lvm2-lvmpolld.service                        static          -
lvm2-monitor.service                         enabled         enabled
mdadm-grow-continue@.service                 static          -
mdadm-last-resort@.service                   static          -
mdcheck_continue.service                     static          -
mdcheck_start.service                        static          -
mdmon@.service                               static          -
mdmonitor-oneshot.service                    static          -
mdmonitor.service                            static          -
ModemManager.service                         enabled         enabled
modprobe@.service                            static          -
network.service                              alias           -
NetworkManager-dispatcher.service            enabled         disabled
NetworkManager-wait-online.service           enabled         disabled
NetworkManager.service                       enabled         disabled
nis-domainname.service                       disabled        disabled
nm-priv-helper.service                       static          -
openSUSE-build-key-import.service            disabled        disabled
packagekit.service                           masked          disabled
pam_namespace.service                        static          -
polkit.service                               static          -
prepare-nextroot-for-softreboot.service      enabled         enabled
printenv.service                             disabled        disabled
quotaon.service                              static          -
rebootmgr.service                            enabled         enabled
rescue.service                               static          -
rpmconfigcheck.service                       disabled        disabled
rsyncd.service                               disabled        disabled
rsyncd@.service                              static          -
sdbootutil-update-predictions.service        static          -
serial-getty@.service                        indirect        disabled
setup-systemd-proxy-env.service              disabled        disabled
shadow.service                               static          -
snapper-boot.service                         static          -
snapper-cleanup.service                      static          -
snapper-timeline.service                     static          -
snapperd.service                             static          -
sshd.service                                 enabled         enabled
system-update-cleanup.service                static          -
systemd-ask-password-console.service         static          -
systemd-ask-password-wall.service            static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-bless-boot.service                   static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-boot-random-seed.service             static          -
systemd-boot-update.service                  disabled        disabled
systemd-bsod.service                         static          -
systemd-confext.service                      disabled        disabled
systemd-coredump@.service                    static          -
systemd-cryptsetup@cr_root.service           generated       -
systemd-exit.service                         static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    static          -
systemd-fsck@.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-machine-id-commit.service            static          -
systemd-modules-load.service                 static          -
systemd-network-generator.service            disabled        disabled
systemd-oomd.service                         disabled        disabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        disabled
systemd-pcrlock-firmware-code.service        disabled        disabled
systemd-pcrlock-firmware-config.service      disabled        disabled
systemd-pcrlock-machine-id.service           disabled        disabled
systemd-pcrlock-make-policy.service          disabled        disabled
systemd-pcrlock-secureboot-authority.service disabled        disabled
systemd-pcrlock-secureboot-policy.service    disabled        disabled
systemd-pcrmachine.service                   static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       enabled         enabled
systemd-quotacheck.service                   static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime disabled
systemd-repart.service                       static          -
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext.service                       disabled        disabled
systemd-sysext@.service                      static          -
systemd-sysupdate-reboot.service             indirect        disabled
systemd-sysupdate.service                    indirect        disabled
systemd-sysusers.service                     static          -
systemd-time-wait-sync.service               disabled        disabled
systemd-timedated.service                    static          -
systemd-timesyncd.service                    disabled        disabled
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-user-sessions.service                static          -
systemd-userdbd.service                      indirect        disabled
systemd-vconsole-setup.service               static          -
systemd-volatile-root.service                static          -
transactional-update-cleanup.service         static          -
transactional-update.service                 static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
wpa_supplicant.service                       disabled        disabled
wpa_supplicant@.service                      disabled        disabled
wtmpdb-rotate.service                        static          -
wtmpdb-update-boot.service                   enabled         enabled
system-systemd\x2dcryptsetup.slice           static          -
system-systemd\x2dveritysetup.slice          static          -
user.slice                                   static          -
dbus.socket                                  static          -
dm-event.socket                              enabled         enabled
lvm2-lvmpolld.socket                         enabled         enabled
rsyncd.socket                                disabled        disabled
syslog.socket                                static          -
systemd-coredump.socket                      static          -
systemd-journald-audit.socket                disabled        disabled
systemd-journald-dev-log.socket              static          -
systemd-journald-varlink@.socket             static          -
systemd-journald.socket                      static          -
systemd-journald@.socket                     static          -
systemd-oomd.socket                          disabled        disabled
systemd-pcrextend.socket                     disabled        disabled
systemd-rfkill.socket                        static          -
systemd-sysext.socket                        disabled        disabled
systemd-udevd-control.socket                 static          -
systemd-udevd-kernel.socket                  static          -
systemd-userdbd.socket                       disabled        disabled
basic.target                                 static          -
blockdev@.target                             static          -
bluetooth.target                             static          -
boot-complete.target                         static          -
cryptsetup-pre.target                        static          -
cryptsetup.target                            static          -
ctrl-alt-del.target                          alias           -
default.target                               alias           -
emergency.target                             static          -
exit.target                                  disabled        disabled
factory-reset.target                         static          -
final.target                                 static          -
first-boot-complete.target                   static          -
getty-pre.target                             static          -
getty.target                                 static          -
graphical.target                             static          -
halt.target                                  disabled        disabled
hibernate.target                             static          -
hybrid-sleep.target                          static          -
initrd-fs.target                             static          -
initrd-root-device.target                    static          -
initrd-root-fs.target                        static          -
initrd-switch-root.target                    static          -
initrd-usr-fs.target                         static          -
initrd.target                                static          -
integritysetup-pre.target                    static          -
integritysetup.target                        static          -
kexec.target                                 disabled        disabled
local-fs-pre.target                          static          -
local-fs.target                              static          -
multi-user.target                            indirect        disabled
network-online.target                        static          -
network-pre.target                           static          -
network.target                               static          -
nss-lookup.target                            static          -
nss-user-lookup.target                       static          -
paths.target                                 static          -
poweroff.target                              disabled        disabled
printer.target                               static          -
reboot.target                                disabled        disabled
remote-cryptsetup.target                     disabled        disabled
remote-fs-pre.target                         static          -
remote-fs.target                             enabled         enabled
remote-veritysetup.target                    disabled        disabled
rescue.target                                static          -
rpcbind.target                               static          -
shutdown.target                              static          -
sigpwr.target                                static          -
sleep.target                                 static          -
slices.target                                static          -
smartcard.target                             static          -
sockets.target                               static          -
soft-reboot.target                           static          -
sound.target                                 static          -
storage-target-mode.target                   static          -
suspend-then-hibernate.target                static          -
suspend.target                               static          -
swap.target                                  static          -
sysinit.target                               static          -
system-update-pre.target                     static          -
system-update.target                         static          -
time-set.target                              static          -
time-sync.target                             static          -
timers.target                                static          -
umount.target                                static          -
usb-gadget.target                            static          -
veritysetup-pre.target                       static          -
veritysetup.target                           static          -
btrfs-balance.timer                          disabled        enabled
btrfs-defrag.timer                           disabled        enabled
btrfs-scrub.timer                            disabled        enabled
btrfs-trim.timer                             disabled        enabled
chrony-dnssrv@.timer                         disabled        disabled
fstrim.timer                                 disabled        enabled
logrotate.timer                              enabled         enabled
mdadm-last-resort@.timer                     static          -
mdcheck_continue.timer                       enabled         disabled
mdcheck_start.timer                          enabled         enabled
mdmonitor-oneshot.timer                      enabled         enabled
openSUSE-build-key-import.timer              disabled        disabled
shadow.timer                                 static          -
snapper-boot.timer                           disabled        disabled
snapper-cleanup.timer                        disabled        enabled
snapper-timeline.timer                       enabled         enabled
systemd-sysupdate-reboot.timer               disabled        disabled
systemd-sysupdate.timer                      disabled        disabled
systemd-tmpfiles-clean.timer                 static          -
transactional-update-cleanup.timer           disabled        disabled
transactional-update.timer                   disabled        enabled
wtmpdb-rotate.timer                          enabled         enabled

329 unit files listed.
